"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
206.6,0.91,206.6,2.28,1386801.7909360558," D. E. Aspnes and  A. A. Studna, 'Dielectric functions and optical parameters of Si, Ge, GaP, GaAs, GaSb, InP, InAs, and InSb from 1.5 to 6.0 eV', <i>Physical Review B</i> <b>27</b>(2), pp.985-1009, (1983)",Pure; IR extension per SOPRA database
207.5,1.174051,207.5,2.584624,1565269.5461574679,,
208.4,1.30331,208.4,2.734176,1648688.5288333064,,
209.3,1.340224,209.3,2.791423,1675970.1843978176,,
210.1,1.329603,210.1,2.802104,1675977.0282712185,,
211,1.330961,211,2.833261,1687384.254654497,,
211.9,1.34014,211.9,2.863911,1698393.9137583761,,
212.8,1.341124,212.8,2.894315,1709165.1769125457,,
213.8,1.352022,213.8,2.926526,1720103.3830008465,,
214.7,1.36016,214.7,2.967516,1736884.2971607207,,
215.6,1.361323,215.6,3.01071,1754809.725062955,,
216.6,1.374623,216.6,3.060097,1775360.7118138808,,
217.5,1.393167,217.5,3.100028,1791085.0925466958,,
218.5,1.402828,218.5,3.14356,1807924.0278478225,,
219.4,1.412584,219.4,3.195223,1830098.2868516208,,
220.4,1.426395,220.4,3.24582,1850643.2426270097,,
221.4,1.443592,221.4,3.300751,1873462.5280811498,,
222.4,1.456228,222.4,3.358581,1897714.63958386,,
223.4,1.481659,223.4,3.411747,1919126.1076288302,,
224.4,1.507762,224.4,3.482341,1950106.3998029472,,
225.4,1.535523,225.4,3.560491,1985024.3777768544,,
226.5,1.581582,226.5,3.635878,2017209.2916818985,,
227.5,1.637454,227.5,3.718267,2053851.479786437,,
228.5,1.703765,228.5,3.799393,2089478.36094538,,
229.6,1.779868,229.6,3.886985,2127408.278852565,,
230.7,1.872507,230.7,3.974721,2165054.9273808547,,
231.7,1.980327,231.7,4.050807,2196976.350851983,,
232.8,2.103921,232.8,4.11709,2222374.5185855674,,
233.9,2.25087,233.9,4.166738,2238596.578064716,,
235,2.398179,235,4.194941,2243199.2898455523,,
236.2,2.547949,236.2,4.201643,2235368.464319556,,
237.3,2.69544,237.3,4.194974,2221474.8420396443,,
238.4,2.83092,238.4,4.170044,2198083.8247560733,,
239.6,2.963871,239.6,4.138472,2170516.3993801437,,
240.7,3.088558,240.7,4.109499,2145471.0209114417,,
241.9,3.219612,241.9,4.05654,2107316.4552282994,,
243.1,3.337315,243.1,3.978056,2056344.1390652074,,
244.3,3.441726,244.3,3.896099,2004086.122973154,,
245.5,3.527103,245.5,3.805912,1948126.302144071,,
246.7,3.600002,246.7,3.713286,1891468.5072197535,,
248,3.662745,248,3.629862,1839281.9020556055,,
249.2,3.715049,249.2,3.557736,1794054.1382041632,,
250.5,3.756424,250.5,3.476572,1744027.6335131295,,
251.7,3.807035,251.7,3.413487,1704217.0333451352,,
253,3.838574,253,3.362094,1669933.5669689046,,
254.3,3.888845,254.3,3.311152,1636223.4837780811,,
255.6,3.940027,255.6,3.249973,1597823.3648145823,,
257,4.011246,257,3.178342,1554094.300046053,,
258.3,4.062332,258.3,3.096201,1506310.8502729186,,
259.7,4.112355,259.7,3.004225,1453685.2044252288,,
261,4.1429,261,2.911549,1401823.900224783,,
262.4,4.171877,262.4,2.808945,1345207.46590515,,
263.8,4.180568,263.8,2.707875,1289922.7000514725,,
265.2,4.179121,265.2,2.616034,1239594.7505190228,,
266.6,4.167238,266.6,2.525354,1190342.6217724828,,
268.1,4.144912,268.1,2.44582,1146403.6022384164,,
269.5,4.111447,269.5,2.37406,1106987.6742384245,,
271,4.072281,271,2.306581,1069570.17335938,,
272.5,4.042167,272.5,2.258996,1041738.7505451344,,
274,4.011517,274,2.218255,1017350.8922319455,,
275.5,3.980863,275.5,2.179804,994273.1372291318,,
277.1,3.950204,277.1,2.153342,976531.70810052,,
278.6,3.919044,278.6,2.129159,960366.1554522025,,
280.2,3.89197,280.2,2.105567,944301.7585783157,,
281.8,3.87217,281.8,2.091703,932757.810971147,,
283.4,3.851737,283.4,2.079289,921987.1626097485,,
285,3.8313,285,2.076291,915489.2003248568,,
286.7,3.810862,286.7,2.064828,905036.4109838165,,
288.3,3.789199,288.3,2.059367,897633.3317024282,,
290,3.779376,290,2.06,892645.6367441342,,
291.7,3.775393,291.7,2.06,887443.3824333184,,
293.5,3.76456,293.5,2.06,882000.7995086847,,
295.2,3.753703,295.2,2.059359,876648.659282388,,
297,3.749429,297,2.065302,873850.1805581558,,
298.8,3.75,298.8,2.076089,873122.6172153387,,
300.6,3.75,300.6,2.085672,871900.4435126989,,
302.4,3.749376,302.4,2.103165,873979.8562549179,,
304.3,3.756258,304.3,2.116616,874077.591333633,,
306.1,3.76696,306.1,2.133459,875852.220991183,,
308,3.777176,308,2.154352,878973.5605774646,,
310,3.786838,310,2.174792,881588.4606820456,,
311.9,3.804318,311.9,2.194694,884236.5562395124,,
313.9,3.83365,313.9,2.222641,889790.7151535484,,
315.9,3.855461,315.9,2.261873,899763.6720675033,,
317.9,3.892491,317.9,2.302615,910208.0362435561,,
320,3.933141,320,2.351773,923539.0974638537,,
322,3.991073,322,2.411638,941165.7421016126,,
324.1,4.069457,324.1,2.481936,962324.2091058361,,
326.3,4.197011,326.3,2.56343,987220.6994779876,,
328.4,4.367345,328.4,2.626905,1005196.7660996706,,
330.6,4.599164,330.6,2.659998,1011086.5305944999,,
332.8,4.874121,332.8,2.6121,986316.6070242666,,
335.1,5.150102,335.1,2.449913,918726.193104641,,
337.4,5.363357,337.4,2.193662,817023.4052944982,,
339.7,5.461654,339.7,1.887116,698092.4064847521,,
342,5.458707,342,1.603437,589163.263122112,,
344.4,5.413401,344.4,1.371787,500533.79343669943,,
346.8,5.320179,346.8,1.181868,428252.3444420832,,
349.3,5.228231,349.3,1.032817,371564.87829403376,,
351.7,5.136029,351.7,0.91346,326382.62443538615,,
354.2,5.045318,354.2,0.815161,289204.2698015708,,
356.8,4.965795,356.8,0.73305,258177.63393654686,,
359.4,4.894753,359.4,0.659609,230631.36211927768,,
362,4.823237,362,0.618561,214725.60148034873,,
364.7,4.751308,364.7,0.566128,195069.2147838204,,
367.4,4.681991,367.4,0.52034,177974.55866836288,,
370.1,4.624158,370.1,0.490854,166664.50368929093,,
372.9,4.573674,372.9,0.460204,155084.3127436457,,
375.7,4.522592,375.7,0.429045,143506.48070901603,,
378.6,4.470969,378.6,0.402499,133596.18610430407,,
381.5,4.423684,381.5,0.377776,124437.0439111442,,
384.4,4.383457,384.4,0.355153,116102.6072529007,,
387.5,4.342591,387.5,0.341937,110887.9243551518,,
390.5,4.301123,390.5,0.32026,103060.32914096462,,
393.6,4.265621,393.6,0.305195,97438.85873092854,,
396.7,4.229974,396.7,0.289987,91859.9474501178,,
399.9,4.193717,399.9,0.274796,86351.29730791306,,
403.2,4.163682,403.2,0.259085,80747.96950945552,,
406.5,4.133033,406.5,0.243757,75354.01726554365,,
409.9,4.101735,409.9,0.234125,71776.08002163556,,
413.3,4.077261,413.3,0.223907,68078.8372888778,,
416.8,4.058013,416.8,0.21369,64426.76911186208,,
420.3,4.029681,420.3,0.203474,60835.824277566455,,
423.9,4.0129,423.9,0.193257,57290.37711297973,,
427.5,3.996535,427.5,0.18244,53628.27262885818,,
431.2,3.975639,431.2,0.181306,52837.62501407709,,
435,3.954648,435,0.157906,45616.21421220688,,
438.9,3.943078,438.9,0.142703,40858.026561423954,,
442.8,3.916189,442.8,0.116189,32973.66836747466,,
446.8,3.902269,446.8,0.104629,29427.18869762278,,
450.9,3.875322,450.9,0.031462,8768.311205787719,,
455,3.853578,455,0.034103,9418.701913439361,,
459.2,3.815624,459.2,0.06906,18898.814342936512,,
463.5,3.774332,463.5,0.016275,4412.463468148772,,
467.9,3.732445,467.9,0.009144,2455.80023290661,,
472.3,3.73035,472.3,0.01,2660.6755482445847,,
476.9,3.691868,476.9,0.010134,2670.3208179055546,,
481.5,3.660534,481.5,0.000179,46.716102595437,,
486.2,3.639995,486.2,0,0,,
491,3.629698,491,0,0,,
495.9,3.608436,495.9,0,0,,
500.9,3.567391,500.9,0,0,,
506.1,3.540292,506.1,0,0,,
511.3,3.548552,511.3,0,0,,
516.6,3.527259,516.6,0,0,,
522,3.527604,522,0,0,,
527.6,3.545582,527.6,0,0,,
533.3,3.457378,533.3,0,0,,
539.1,3.468832,539.1,0,0,,
545,3.457601,545,0,0,,
551,3.447791,551,0,0,,
557.2,3.434483,557.2,0,0,,
563.6,3.415891,563.6,0,0,,
570,3.411332,570,0,0,,
576.7,3.397025,576.7,0,0,,
583.5,3.363865,583.5,0,0,,
590.4,3.359915,590.4,0,0,,
597.5,3.356503,597.5,0,0,,
604.8,3.345643,604.8,0,0,,
612.3,3.335427,612.3,0,0,,
619.9,3.324595,619.9,0,0,,
627.8,3.320627,627.8,0,0,,
635.8,3.310146,635.8,0,0,,
644.1,3.293316,644.1,0,0,,
652.5,3.290695,652.5,0,0,,
661.2,3.278105,661.2,0,0,,
670.2,3.268897,670.2,0,0,,
679.4,3.2719,679.4,0,0,,
688.8,3.249443,688.8,0,0,,
698.5,3.245419,698.5,0,0,,
708.5,3.251057,708.5,0,0,,
718.7,3.243253,718.7,0,0,,
729.3,3.232604,729.3,0,0,,
740.2,3.221851,740.2,0,0,,
751.4,3.219656,751.4,0,0,,
763,3.220472,763,0,0,,
774.9,3.212886,774.9,0,0,,
787.2,3.183844,787.2,0,0,,
799.9,3.179011,799.9,0,0,,
813,3.18935,813,0,0,,
826.6,3.181148,826.6,0,0,,
840.6,3.170646,840.6,0,0,,
855.1,3.160293,855.1,0,0,,
870.1,3.160033,870.1,0,0,,
885.6,3.149992,885.6,0,0,,
901.7,3.139738,901.7,0,0,,
918.4,3.129863,918.4,0,0,,
935.7,3.13011,935.7,0,0,,
953.7,3.129231,953.7,0,0,,
972.4,3.120053,972.4,0,0,,
991.9,3.118516,991.9,0,0,,
1012,3.094183,1012,0,0,,
1033,3.054775,1033,0,0,,
1055,3.040542,1055,0,0,,
1078,3.052356,1078,0,0,,
1102,3.061391,1102,0,0,,
1127,3.06672,1127,0,0,,
1153,3.074055,1153,0,0,,
1181,3.080932,1181,0,0,,
1210,3.085405,1210,0,0,,
1240,3.0848,1240,0,0,,
1272,3.08229,1272,0,0,,
1305,3.078328,1305,0,0,,
1340,3.073364,1340,0,0,,
1378,3.06785,1378,0,0,,
1417,3.062197,1417,0,0,,
1459,3.057175,1459,0,0,,
1503,3.054058,1503,0,0,,
1550,3.052127,1550,0,0,,
1600,3.050904,1600,0,0,,
1653,3.050526,1653,0,0,,
1710,3.049283,1710,0,0,,
1771,3.045972,1771,0,0,,
1837,3.042028,1837,0,0,,
1907,3.039663,1907,0,0,,
1984,3.038153,1984,0,0,,
2066,3.037604,2066,0,0,,
2156,3.035286,2156,0,0,,
2254,3.031472,2254,0,0,,
2362,3.029963,2362,0,0,,
2480,3.02864,2480,0,0,,